Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1863;820.65;361.07;261.61;397.67;217.42;132.5;115.52;56.16;150.93;543.39;417;328.39;316.96
1864;308.39;303.45;592.26;293.33;135.29;167.67;97.94;62.58;69.43;135.68;574.67;479.68;268.08
1865;556.77;850;677.74;524.67;198.55;102.37;80.13;78.74;55.07;64.87;268.33;446.29;321.94
1866;335.48;599.64;863.23;876;316.61;341.67;192.26;155.65;909.83;598.06;335;759.68;521.96
1867;961.29;866.79;898.71;704;438.06;181;199.03;166.77;93.7;371.35;262.33;313.71;452.93
1868;448.71;521.03;523.23;387.67;458.06;162.33;87.32;146.65;136.6;713.55;621;739.03;412.43
1869;494.84;343.57;777.1;664.33;338.06;308.17;141.19;73.97;55.83;60.55;111.8;364.68;311.19
1870;338.71;267.5;509.35;191.67;102.03;54.43;36.06;38.42;36.33;40.65;294;454.68;196.99
1871;362.74;602.5;329.68;230.67;116.23;119.03;169.39;77.97;64.13;104.97;218.3;137.9;208.49
1872;378.06;453.79;469.35;298.33;684.84;439;162.84;162.58;104.27;810.94;909.33;1272.26;513.27
1873;680.32;447.5;1099.03;617.67;334.19;220.83;148.29;80.97;82.6;99;311.5;250.97;364.34
1874;208.39;180.54;291.29;233.83;116.94;76.63;105.71;165.45;57.13;155.26;206.5;500.97;192.17
1875;904.52;601.43;380.32;177.67;101.13;204.63;278.39;230.97;366.67;426.29;947.33;371.94;414.33
1876;323.87;529.66;1246.77;811;446.61;480.83;238.48;70.52;104.3;95.77;145.43;426.45;409.59
1877;372.58;521.43;826.77;734.67;592.58;638.67;147.74;121.94;92.9;72.68;123.2;335.81;380.43
1878;522.9;423.21;303.55;767;568.06;305;161.77;149.03;152.97;192.48;430.33;684.84;387.87
1879;1361.29;1037.14;533.55;1258;882.26;538.33;229.35;147.42;117;135.97;260.67;225.65;556.82
1880;321.29;392.76;270.32;260.17;543.87;455.5;414.19;134.52;150.5;264.84;482.33;373.55;338.37
1881;380.65;892.14;456.77;557;446.77;204.67;105.16;64.06;77.27;119;158.5;177.1;299.01
1882;194.84;115.71;194.68;176.83;257.9;190.33;532.58;127.26;228.23;500.97;881;1220.97;387.5
