COU,Country,POL,Pollutant,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1990,1990,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,115184.342,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1991,1991,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,115081.462,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1992,1992,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,114397.099,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1993,1993,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,112240.975,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1994,1994,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,109347.45,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1995,1995,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,111247.246,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1996,1996,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,110248.871,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1997,1997,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,113473.094,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1998,1998,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,113882.52,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,1999,1999,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,112610.153,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2000,2000,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,115036.3,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2001,2001,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,117417.037,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2002,2002,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,114604.982,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2003,2003,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,111114.663,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2004,2004,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,111300.235,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2005,2005,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,111456.378,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2006,2006,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,112704.242,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2007,2007,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,112910.963,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2008,2008,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,113592.76,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2009,2009,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,110806.532,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2010,2010,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,109062.639,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2011,2011,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,110274.742,,
AUS,Australia,CH4,Methane,TOTAL,Total emissions without UTCATF,2012,2012,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,111709.499,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1990,1990,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,276137.55,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1991,1991,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,277590.305,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1992,1992,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,282530.156,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1993,1993,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,286804.382,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1994,1994,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,291375.934,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1995,1995,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,302576.426,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1996,1996,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,309524.263,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1997,1997,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,317772.253,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1998,1998,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,331123.226,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,1999,1999,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,340605.442,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2000,2000,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,346620.851,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2001,2001,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,354266.499,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2002,2002,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,358296.262,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2003,2003,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,364605.104,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2004,2004,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,376669.864,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2005,2005,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,380440.454,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2006,2006,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,385969.336,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2007,2007,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,393918.321,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2008,2008,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,399084.151,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2009,2009,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,398668.771,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2010,2010,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,399364.819,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2011,2011,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,398161.387,,
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total emissions without UTCATF,2012,2012,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,397830.605,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1990,1990,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,86506.722,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1991,1991,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,87044.076,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1992,1992,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,85027.901,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1993,1993,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,83790,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1994,1994,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,83142.314,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1995,1995,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,84686.274,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1996,1996,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,85966.035,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1997,1997,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,87581.225,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1998,1998,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,87744.498,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,1999,1999,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,89947.968,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2000,2000,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,92253.945,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2001,2001,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,95191.506,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2002,2002,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,92398.735,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2003,2003,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,89345.1,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2004,2004,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,89191.679,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2005,2005,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,88106.792,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2006,2006,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,89293.556,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2007,2007,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,86629.989,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2008,2008,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,86604.931,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2009,2009,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,83785.271,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2010,2010,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,81518.209,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2011,2011,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,84550.945,,
AUS,Australia,GHG,Greenhouse gases,AGR,4 - Agriculture,2012,2012,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,87360.555,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1990,1990,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,286748.823,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1991,1991,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,288439.298,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1992,1992,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,294235.293,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1993,1993,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,297784.177,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1994,1994,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,299196.588,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1995,1995,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,311509.392,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1996,1996,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,318008.775,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1997,1997,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,328900.367,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1998,1998,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,343043.286,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,1999,1999,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,349324.673,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2000,2000,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,357849.323,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2001,2001,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,366226.647,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2002,2002,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,369548.221,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2003,2003,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,373641.877,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2004,2004,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,385583.846,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2005,2005,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,392014.33,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2006,2006,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,397048.275,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2007,2007,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,405513.824,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2008,2008,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,411676.838,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2009,2009,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,413336.607,,
AUS,Australia,GHG,Greenhouse gases,ENER,1 - Energy,2010,2010,T_CO2_EQVT,Tons of Equivalent CO2,3,thousand,,,411384.684,,
